period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
90,between_30_and_50,3,predpisy,112.04013377926421,96.58119658119658,15.45893719806763,0.0020025332186319974,1794.0,2010.0,1638.0,1582.0,1.1600615621392842
90,between_30_and_50,3,prvopredpisy,106.06060606060606,76.39257294429707,29.66803311630899,0.0023523721438451664,363.0,385.0,377.0,288.0,1.3883627946127945
90,between_30_and_50,3,kortikoidy,116.24887510625727,75.65570634931802,40.59316875693925,0.0,250718.125,291457.0,381987.875,288995.625,1.5365513153695534
90,between_30_and_50,3,imunosupresivy,111.43497757847534,100.72115384615385,10.713823732321487,0.2958281665171786,446.0,497.0,416.0,419.0,1.1063711377719747
180,between_30_and_50,1,predpisy,102.34741784037557,103.57142857142858,-1.2240107310530135,0.7086669828128207,5964.0,6104.0,3080.0,3190.0,0.9881819653553503
180,between_30_and_50,1,prvopredpisy,94.00826446280992,98.04216867469879,-4.033904211888867,0.5476249218105859,1452.0,1365.0,664.0,651.0,0.9588554163334223
180,between_30_and_50,1,kortikoidy,105.43814449855837,104.57262537631912,0.8655191222392489,0.00028229388201837747,935962.625,986861.625,637590.5,666745.125,1.0082767274812559
180,between_30_and_50,1,imunosupresivy,102.41411327762302,102.06185567010309,0.35225760751993107,0.9735861127672671,1077.0,1103.0,776.0,792.0,1.003451412922165
180,between_30_and_50,2,predpisy,99.8340374170187,100.12606366214938,-0.2920262451306712,0.9270350100962187,6628.0,6617.0,3173.0,3177.0,0.9970834143034321
180,between_30_and_50,2,prvopredpisy,93.10589907604833,96.0352422907489,-2.929343214700566,0.6637868645508542,1407.0,1310.0,681.0,654.0,0.9694972059753656
180,between_30_and_50,2,kortikoidy,104.33931012171347,99.58592232522656,4.753387796486905,2.3955322819612742e-98,1015407.375,1059469.05,672760.25,669974.5,1.0477315235477094
180,between_30_and_50,2,imunosupresivy,103.72990353697749,100.37546933667083,3.354434200306656,0.6021919486979296,1555.0,1613.0,799.0,802.0,1.0334188644145264
180,between_30_and_50,3,predpisy,113.5663181067694,102.22640326121042,11.33991484555898,0.0019160131839417757,3634.0,4127.0,3189.0,3260.0,1.1109294124002687
180,between_30_and_50,3,prvopredpisy,114.26573426573428,92.11678832116789,22.148945944566393,0.0042887741734875815,715.0,817.0,685.0,631.0,1.2404441833918856
180,between_30_and_50,3,kortikoidy,121.14060339519072,87.99813287055058,33.142470524640146,0.0,521892.625,632223.875,683402.0,601381.0,1.376626974272219
180,between_30_and_50,3,imunosupresivy,106.6006600660066,109.57711442786069,-2.9764543618540955,0.6870877246214355,909.0,969.0,804.0,881.0,0.9728368977646913
365,between_30_and_50,1,predpisy,114.59179265658747,108.02736982643523,6.564422830152239,0.007302416018833951,11575.0,13264.0,5992.0,6473.0,1.0607662932153132
365,between_30_and_50,1,prvopredpisy,100.66410346032855,101.81531176006314,-1.1512082997345914,0.8121190439102742,2861.0,2880.0,1267.0,1290.0,0.98869317119563
365,between_30_and_50,1,kortikoidy,118.51793013820095,109.05350017910078,9.464429959100173,0.0,1781570.03125,2111479.925,1195904.875,1304176.125,1.0867870352034235
365,between_30_and_50,1,imunosupresivy,111.23755334281651,112.85809460359759,-1.6205412607810814,0.76278539468546,2109.0,2346.0,1501.0,1694.0,0.9856408947318039
365,between_30_and_50,2,predpisy,114.36894732698212,107.74589484159893,6.623052485383198,0.00582123643900739,12701.0,14526.0,6029.0,6496.0,1.0614691863213905
365,between_30_and_50,2,prvopredpisy,102.15485756026297,103.299293008641,-1.144435448378033,0.8302899448133374,2738.0,2797.0,1273.0,1315.0,0.9889211686252073
365,between_30_and_50,2,kortikoidy,118.20915777357237,106.52502088413212,11.684136889440254,0.0,1922137.5,2272142.55,1210249.0,1289218.0,1.1096844365057592
365,between_30_and_50,2,imunosupresivy,112.56561679790028,111.4678899082569,1.0977268896433827,0.8291408100128261,3048.0,3431.0,1526.0,1701.0,1.0098479202445374
365,between_30_and_50,3,predpisy,109.14442700156985,102.30278512525284,6.841641876317013,0.006349040868100452,7644.0,8343.0,6427.0,6575.0,1.066876398994813
